"","Genus","Species","Glucose_F","Galactose_F","Sucrose_F","Maltose_F","Lactose_F","Raffinose_F","Trehalose_F","Glucose","Inulin","Sucrose","Raffinose","Melibiose","Galactose","Lactose","Trehalose","Maltose","Melezitose","Methyl-?-D-glucoside","Soluble Starch","Cellobiose","Salicin","L-Sorbose","L-Rhamnose","D-Xylose","L-Arabinose","D-Arabinose","D-Ribose","Methanol","Ethanol","Glycerol","Erythritol","Ribitol","Galactitol","D-Mannitol","D-Glucitol","myo-Inositol","DL-Lactate","Succinate","Citrate","D-Gluconate","D-Glucosamine","Nitrate","Vitamin-free","2-Keto-D-gluconate","Starch formation","Growth at 19°C","Growth at 25°C","Growth at 30°C","Growth at 37°C"
"178","Ascoidea","A. africana",0,0,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0,1,0.5,1,0.5,1,1,1,1,0.5,1,0.5,"0",0,1,1,1,0,0.5,NA,0.5,1,0,0,0.5,0.5,0,1,0.5,NA,NA,0,1,1,0,0
"179","Ascoidea","A. hylecoeti",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,"0",0,1,1,1,0,1,NA,1,1,1,0,1,0,0,1,0,NA,NA,0,1,1,1,0
"180","Ascoidea","A. rubescens",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,"1",1,0,1,1,1,1,NA,1,1,1,0,0,0,0,0,0,NA,NA,0,1,1,1,0
"181","Cephaloascus","C. albidus",1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,"0.5",0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,"0",0,0,1,1,1,0
"182","Cephaloascus","C. fragrans",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.5,0,0,0,0.5,0,0,0.5,0,1,1,"0",0,0,1,1,0,1,0,1,1,0,0.5,1,1,0,0,0,"1",0,0,1,1,1,0
"183","Wickerhamia","W. fluorescens",1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,"0",1,0,1,1,1,0
"184","Yamadazyma","Y. akitaensis",1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,"1",1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,"0",1,0,1,1,1,0
"185","Yamadazyma","Y. mexicana",1,1,0,0,0,0,1,1,0,1,1,0.5,1,1,1,1,1,1,0,1,1,0,1,1,1,"0.5",1,0,1,1,1,1,0.5,1,1,0,0,1,1,1,1,0,"0",1,0,1,1,1,1
"186","Yamadazyma","Y. nakazawae",1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,"1",1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,"0",1,0,1,1,1,0
"187","Yamadazyma","Y. philogaea",1,1,0,0.5,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,"1",1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,"0",1,0,1,1,1,1
