,Ascoidea,Ascoidea,Ascoidea,Cephaloascus,Cephaloascus,Wickerhamia,Yamadazyma,Yamadazyma,Yamadazyma,Yamadazyma,Yamadazyma,Yamadazyma,Debaryomyces,Debaryomyces,Debaryomyces,Debaryomyces,Debaryomyces,Debaryomyces,Debaryomyces,Debaryomyces,Debaryomyces,Debaryomyces,Debaryomyces,Kurtzmaniella,Lodderomyces,Meyerozyma,Meyerozyma,Millerozyma,Millerozyma,Priceomyces,Priceomyces,Priceomyces,Priceomyces,Priceomyces,Scheffersomyces,Scheffersomyces,Scheffersomyces,Schwanniomyces,Schwanniomyces,Schwanniomyces,Schwanniomyces,Schwanniomyces,Schwanniomyces,Schwanniomyces,Schwanniomyces,Schwanniomyces,Schwanniomyces,Spathaspora,Dipodascus,Dipodascus,Dipodascus,Dipodascus,Dipodascus,Dipodascus,Galactomyces,Galactomyces,Galactomyces,Galactomyces,Galactomyces,Geotrichum,Geotrichum,Geotrichum,Geotrichum,Geotrichum,Geotrichum,Geotrichum,Dipodascopsis,Dipodascopsis,Dipodascopsis,Dipodascopsis,Lipomyces,Lipomyces,Lipomyces,Lipomyces,Lipomyces,Lipomyces,Lipomyces,Lipomyces,Lipomyces,Lipomyces,Lipomyces,Lipomyces,Lipomyces,Lipomyces,Lipomyces,Lipomyces,Myxozyma,Myxozyma,Myxozyma,Myxozyma,Myxozyma,Myxozyma,Myxozyma,Myxozyma,Myxozyma,Myxozyma,Myxozyma,Myxozyma,Aciculoconidium,Clavispora,Clavispora,Hyphopichia,Hyphopichia,Kodamaea,Kodamaea,Kodamaea,Kodamaea,Kodamaea,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Metschnikowia,Komagataella,Komagataella,Komagataella,Phaffomyces,Phaffomyces,Phaffomyces,Brettanomyces,Brettanomyces,Brettanomyces,Dekkera,Dekkera,Kregervanrija,Kregervanrija,Kregervanrija,Pichia,Pichia,Pichia,Pichia,Pichia,Pichia,Pichia,Pichia,Pichia,Pichia,Pichia,Pichia,Pichia,Pichia,Pichia,Pichia,Pichia,Pichia,Pichia,Pichia,Saturnispora,Saturnispora,Saturnispora,Saturnispora,Saturnispora,Saturnispora,Saturnispora,Cyniclomyces,Eremothecium,Eremothecium,Eremothecium,Eremothecium,Eremothecium,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kazachstania,Kluyveromyces,Kluyveromyces,Kluyveromyces,Kluyveromyces,Kluyveromyces,Kluyveromyces,Kluyveromyces,Lachancea,Lachancea,Lachancea,Lachancea,Lachancea,Lachancea,Nakaseomyces,Nakaseomyces,Naumovozyma,Naumovozyma,Saccharomyces,Saccharomyces,Saccharomyces,Saccharomyces,Saccharomyces,Saccharomyces,Saccharomyces,Saccharomyces,Saccharomyces,Tetrapisispora,Tetrapisispora,Tetrapisispora,Tetrapisispora,Tetrapisispora,Tetrapisispora,Tetrapisispora,Torulaspora,Torulaspora,Torulaspora,Torulaspora,Torulaspora,Torulaspora,Vanderwaltozyma,Vanderwaltozyma,Zygosaccharomyces,Zygosaccharomyces,Zygosaccharomyces,Zygosaccharomyces,Zygosaccharomyces,Zygosaccharomyces,Zygotorulaspora,Zygotorulaspora,Hanseniaspora,Hanseniaspora,Hanseniaspora,Hanseniaspora,Hanseniaspora,Hanseniaspora,Hanseniaspora,Hanseniaspora
Glucose_F,0,0,0,1,0,1,1,1,1,1,1,0.5,0,0.5,0.5,0.5,0,0.5,0,1,1,0.5,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,1,0,0,0,0,0.5,0,0.5,0.5,0.5,0,0,1,0,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0.5,0,0,1,0.5,1,1,0,0.5,1,1,0,1,1,0.5,0.5,1,1,1,0,1,0.5,1,1,1,1,1,0.5,1,1,1,0.5,1,0,0,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Galactose_F,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,1,0.5,0.5,0.5,0,0,0,0,0,1,0,1,0,0,1,1,0.5,0.5,1,0,0,1,1,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,1,NA,NA,0,NA,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1,0,1,NA,0,0,1,0,0,0,0,0,0,0,0.5,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0.5,1,1,1,1,0,1,1,1,1,0,0.5,0,0,0,1,1,1,0.5,0.5,1,0.5,0,1,1,0.5,1,1,0,1,1,1,1,0.5,1,0,0.5,1,0.5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Sucrose_F,0,0,0,0,0,1,1,0,0,0,0.5,0,0,0.5,0.5,0,0,0.5,0,1,0,0.5,0.5,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0.5,1,1,1,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,1,1,NA,NA,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0,0,0.5,0,0,0,1,0,0.5,1,1,1,0,0,0,0,0.5,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0.5,1,1,1,1,1,1,0,0.5,0,1,1,0,0.5,1,1,0,0,0,0,1,1,0,0
Maltose_F,0,0,0,0,0,0,1,0,1,0.5,0.5,0,0,0,0.5,0,0,0,0,1,0,0,0.5,0,0,0.5,0,1,0,0,0,0,0,0,0,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,NA,NA,1,NA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,0,0,0,1,1,0,0.5,0.5,0,0,0,0,0,0,1,1,0,1,1,1,0.5,1,0,0,0,0,0,0,0,0.5,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Lactose_F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raffinose_F,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0.5,0,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,0,0,0,0,0,0,1,0,0.5,0.5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,1,0,0,1,0.5,1,0.5,1,1,0,0,0,0,1,1,1,1,1,1,1,0.5,1,0,0,0,0,0,0,0,0.5,1,1,1,1,0.5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Trehalose_F,0,0,0,0,0,0,1,1,1,1,1,0,0,0.5,0.5,0,0,0.5,0,1,0,0,0.5,0,1,1,1,1,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,1,1,NA,NA,1,NA,0.5,0.5,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0.5,1,1,0.5,0,0,0,0,1,0,1,0,1,0,0,1,NA,1,NA,NA,0,NA,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,1,0,0,0.5,0,0,0,1,0,0.5,1,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0.5,0.5,0,0,0,1,1,0,1,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,1,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0
Glucose,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Inulin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0.5,0,1,0,1,1,0,1,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.5,0.5,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0.5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sucrose,0.5,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0.5,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,1,1,1,1,1,1,0,1,1,0.5,1,1,1,1,NA,0,0.5,0,1,1,1,1,1,0.5,1,1,0.5,0,0,0,0,0,0,0,0.5,1,1,1,1,1,1,0,0.5,0,1,1,0,0.5,1,1,0,0,0,0,1,1,0,0.5
