"Treatment_A","Treatment_B"
"Glucose_F","Glucose_F"
"Glucose_F","Galactose_F"
"Glucose_F","Sucrose_F"
"Glucose_F","Maltose_F"
"Glucose_F","Raffinose_F"
"Glucose_F","Trehalose_F"
"Glucose_F","Sucrose"
"Glucose_F","Trehalose"
"Glucose_F","Maltose"
"Glucose_F","Melezitose"
"Glucose_F","Methyl-?-D-glucoside"
"Glucose_F","Cellobiose"
"Glucose_F","Salicin"
"Glucose_F","D-Ribose"
"Glucose_F","Ribitol"
"Glucose_F","D-Gluconate"
"Glucose_F","D-Glucosamine"
"Glucose_F","2-Keto-D-gluconate"
"Glucose_F","Growth at 25°C"
"Glucose_F","Growth at 30°C"
"Galactose_F","Glucose_F"
"Galactose_F","Galactose_F"
"Galactose_F","Sucrose_F"
"Galactose_F","Maltose_F"
"Galactose_F","Lactose_F"
"Galactose_F","Raffinose_F"
"Galactose_F","Trehalose_F"
"Galactose_F","Sucrose"
"Galactose_F","Raffinose"
"Galactose_F","Melibiose"
"Galactose_F","Galactose"
"Galactose_F","Lactose"
"Galactose_F","Trehalose"
"Galactose_F","Maltose"
"Galactose_F","Melezitose"
"Galactose_F","Methyl-?-D-glucoside"
"Galactose_F","Cellobiose"
"Galactose_F","Salicin"
"Galactose_F","D-Xylose"
"Galactose_F","L-Arabinose"
"Galactose_F","D-Arabinose"
"Galactose_F","D-Ribose"
"Galactose_F","Erythritol"
"Galactose_F","Ribitol"
"Galactose_F","Galactitol"
"Galactose_F","Citrate"
"Galactose_F","D-Gluconate"
"Galactose_F","D-Glucosamine"
"Galactose_F","2-Keto-D-gluconate"
"Galactose_F","Growth at 25°C"
"Galactose_F","Growth at 30°C"
"Sucrose_F","Glucose_F"
"Sucrose_F","Galactose_F"
"Sucrose_F","Sucrose_F"
"Sucrose_F","Maltose_F"
"Sucrose_F","Lactose_F"
"Sucrose_F","Raffinose_F"
"Sucrose_F","Trehalose_F"
"Sucrose_F","Inulin"
"Sucrose_F","Sucrose"
"Sucrose_F","Raffinose"
"Sucrose_F","Melibiose"
"Sucrose_F","Galactose"
"Sucrose_F","Trehalose"
"Sucrose_F","Maltose"
"Sucrose_F","Melezitose"
"Sucrose_F","Methyl-?-D-glucoside"
"Sucrose_F","DL-Lactate"
"Sucrose_F","D-Gluconate"
"Sucrose_F","Vitamin-free"
"Sucrose_F","2-Keto-D-gluconate"
"Sucrose_F","Growth at 30°C"
"Sucrose_F","Growth at 37°C"
"Maltose_F","Glucose_F"
"Maltose_F","Galactose_F"
"Maltose_F","Sucrose_F"
"Maltose_F","Maltose_F"
"Maltose_F","Lactose_F"
"Maltose_F","Raffinose_F"
"Maltose_F","Trehalose_F"
"Maltose_F","Sucrose"
"Maltose_F","Raffinose"
"Maltose_F","Melibiose"
"Maltose_F","Galactose"
"Maltose_F","Lactose"
"Maltose_F","Trehalose"
"Maltose_F","Maltose"
"Maltose_F","Melezitose"
"Maltose_F","Methyl-?-D-glucoside"
"Maltose_F","Soluble Starch"
"Maltose_F","L-Arabinose"
"Maltose_F","D-Ribose"
"Maltose_F","Ethanol"
"Maltose_F","Erythritol"
"Maltose_F","Ribitol"
"Maltose_F","Galactitol"
"Maltose_F","D-Mannitol"
"Maltose_F","D-Glucitol"
"Maltose_F","Citrate"
"Maltose_F","D-Gluconate"
"Maltose_F","D-Glucosamine"
"Maltose_F","2-Keto-D-gluconate"
"Maltose_F","Growth at 30°C"
"Maltose_F","Growth at 37°C"
"Lactose_F","Galactose_F"
"Lactose_F","Sucrose_F"
"Lactose_F","Maltose_F"
"Lactose_F","Lactose_F"
"Lactose_F","Trehalose_F"
"Lactose_F","Galactose"
"Lactose_F","Lactose"
"Raffinose_F","Glucose_F"
"Raffinose_F","Galactose_F"
